,Jan-2026,Feb-2026,Mar-2026,Apr-2026,May-2026,Jun-2026,Jul-2026,Aug-2026,Sep-2026,Oct-2026,Nov-2026,Dec-2026
Alor Setar,61.56,59.76,63.93,62.40,57.69,55.79,54.13,56.43,58.60,58.08,57.40,58.59
Batu Pahat,48.70,48.85,50.54,45.69,45.87,45.25,43.33,43.94,44.36,42.81,43.72,44.48
Bintulu,49.63,53.02,51.58,49.51,51.26,48.54,45.71,47.54,44.81,48.57,50.06,47.90
Ipoh,65.85,63.67,66.12,62.78,59.55,59.32,64.49,64.07,64.45,62.49,62.50,63.37
Johor Bahru,69.85,68.29,67.89,67.10,67.23,67.57,67.88,68.99,68.41,66.67,66.97,67.46
Kangar,40.41,41.50,39.51,41.29,37.84,40.12,40.04,42.09,49.73,41.50,38.05,40.37
Kemaman,32.08,29.82,38.43,34.11,30.05,30.71,31.40,30.29,32.35,31.91,32.02,31.90
Kluang,24.12,23.69,24.26,20.15,20.79,16.62,13.04,12.48,14.96,11.87,14.05,19.78
Kota Bharu,33.90,29.60,30.37,26.69,22.22,22.21,21.97,18.50,16.99,14.20,13.11,26.07
Kota Kinabalu,43.35,43.83,41.68,42.12,42.60,42.63,42.43,44.15,43.72,43.09,42.81,43.83
Kuala Terengganu,44.25,41.87,43.38,41.94,35.09,36.25,31.97,31.56,30.20,30.99,30.49,33.26
Kuantan,67.31,68.71,71.31,72.64,72.26,73.66,74.43,79.03,74.74,74.09,72.99,72.53
Kuching,45.91,45.33,44.86,44.56,44.69,44.37,45.00,47.12,44.79,44.95,45.11,45.97
Labuan,56.49,52.00,53.29,51.69,53.22,53.08,53.76,56.86,52.84,52.32,54.17,52.39
Lahad Datu,35.34,31.84,33.69,31.11,27.85,35.13,31.69,30.70,37.65,26.70,29.18,28.10
Langkawi,44.77,47.18,50.38,47.99,42.46,46.02,48.16,50.05,45.25,45.72,46.75,47.45
Melaka,55.68,54.61,55.65,53.13,60.94,52.27,53.79,54.52,53.01,51.45,51.00,52.88
Miri,43.95,40.62,40.49,35.69,34.10,33.75,34.02,33.21,31.56,29.69,28.99,30.26
Muar,52.14,52.57,50.95,51.16,48.27,47.88,47.66,46.37,49.42,47.97,46.29,46.84
Negeri Sembilan,68.85,68.69,71.10,69.22,68.87,67.80,67.20,69.11,67.91,66.69,67.67,67.56
Penang,77.78,75.84,76.47,74.41,74.93,73.52,72.02,75.94,75.46,72.70,73.28,73.63
Sandakan,40.92,41.70,39.39,38.41,38.89,38.18,38.00,41.50,37.84,40.95,39.05,41.72
Sibu,43.64,43.95,45.21,44.13,46.39,42.92,43.79,50.13,43.08,43.69,44.81,43.73
Sungai Petani,29.51,32.49,34.97,35.69,32.43,34.07,33.12,38.76,36.55,34.80,37.98,46.36
Tawau,42.39,41.06,42.68,41.77,42.01,43.39,43.13,45.48,45.12,42.28,41.60,43.80
