Metric,Last_Week_Oct_18_24,This_Week_Oct_25_31,Change,Growth_Pct
Total_Orders,1732270,1899418,167148,9.6
Completed_Orders,1577484,1755836,178352,11.3
Completion_Rate_Pct,91.1,92.4,1.3,1.4
WTU_Weekly_Transaction_Users,798628,848407,49779,6.2
DTU_Daily_Transaction_Users,1399603,1542753,143150,10.2
DTU_with_Promotion,668922,817056,148134,22.1
DTU_WTU_Ratio,1.8,1.8,0.0,0.0
Unique_Merchants,42490,42980,490,1.2
Total_GMV_MYR,59826222,70026774,10200552,17.0
Avg_Basket_Size_MYR,33.52,35.65,2.13,6.4
Promo_Expense_MYR,5454364,12872177,7417813,136.0
Promo_Orders,823202,1015092,191890,23.3
Promo_Penetration_Pct,47.5,53.4,5.9,12.4
Unique_Sessions,1532460,1679127,146667,9.6
Completed_Sessions,1489955,1649260,159305,10.7
Orders_per_Session,1.13,1.13,0.00,0.0
COPS_Completed_Orders_Per_Session,1.06,1.07,0.01,0.9
Local_Eaters,753110,805562,52452,7.0
Foreign_Eaters,45508,42836,-2672,-5.9
Local_Orders,1488272,1668850,180578,12.1
Foreign_Orders,89200,86969,-2231,-2.5

