merchant_id_nk,merchant_name,area_name,halal_status,cuisine_names,segment,custom_segment,am_name,last_order_date,merchant_status
1-CZEJRAMXLU6JAT,"Auntie Anne's - AEON Bukit Mertajam",Alma Jaya,Halal,"Beverages, Fast Food, Halal, Healthy, In-Store Prices",Enterprise,None,,2023-04-12,Churned
1-C6EKDEMBNELUJA,"D'Laksa - Aeon Bukit Mertajam",Alma Jaya,Halal,"Beverages, Halal, Malaysian, Noodles, Selera Popular",Mid-Market,KVAM,emily.lee@grabtaxi.com,2025-12-01,Active
1-CYTYGGABLBBGGX,"Domino's Pizza - Bukit Mertajam",Alma Jaya,Halal,"Fast Food, Halal, Pizza, Selera Popular",Enterprise,BD,wanqing.ng@grabtaxi.com,2025-12-01,Active
1-C2AEAXE3VTB3R6,"KFC - AEON Bukit Mertajam",Alma Jaya,Halal,"Burgers, Chicken, Fast Food, Fried Chicken, Halal",Enterprise,BD,wenxhing.choo@grabtaxi.com,2025-12-01,Active
1-C2AEAXJAACNCC6,"KFC - Alma Bukit Mertajam",Alma Jaya,Halal,"Burgers, Chicken, Fast Food, Fried Chicken, Halal",Enterprise,BD,wenxhing.choo@grabtaxi.com,2025-12-01,Active
1-C65JJTMFJXXHCA,"Kenangan Coffee - AEON Bukit Mertajam",Alma Jaya,Halal,"Cafe, Coffee & Tea, Halal, Iced Dessert, Pastries",Enterprise,BD,bernadette.hon@grabtaxi.com,2025-12-01,Active
1-CYTDG3NWTXNUT6,"Nando's - AEON Bukit Mertajam",Alma Jaya,Halal,"Chicken, Halal, Healthy, Lunch, Western",Enterprise,BD,wanqing.ng@grabtaxi.com,2025-12-01,Active
1-C2AALPTYC3JXVN,"Pizza Hut - Alma Bkt Mertajam",Alma Jaya,Halal,"Chicken, Fast Food, Halal, Pasta, Pizza",Enterprise,BD,bernadette.hon@grabtaxi.com,2025-12-01,Active
1-CY4BJ7WWAF5VCJ,"Starbucks - AEON Bukit Mertajam",Alma Jaya,Halal,"Cakes & Bakeries, Coffee & Tea, Dessert, Halal, Pastries",Enterprise,BD,wanqing.ng@grabtaxi.com,2025-12-01,Active
1-CZAHT3KXVVNDC2,"The Chicken Rice Shop - AEON Bukit Mertajam",Alma Jaya,Halal,"Chicken, Chicken Rice, Halal, Malaysian, Selera Popular",Enterprise,BD,cheryl.chow@grabtaxi.com,2025-12-01,Active
