merchant_id,merchant_name,best_window,why,island_mainland,area_name,ambd,signature,mgs,am,top_20_percent,gmv_aug,mom_growth
1-C2C2MBA2NKW3C6,Hameed Pata Mee - Jalan Padang Kota Lama,LUNCH,positive NTU uplift; NTU/RM ≥ median; recent promo saturation; ops risk: high prep time,Island,Georgetown,MGS,,Low Jia Ying,Low Jia Ying,T20,30177.78,-3.24%
1-C2NYA2VZA7K3PA,Restoran Nasi Kandar Ali - Jalan Pasar,DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Mainland,Alma Jaya,NMA,,,,No,84.5,0.00%
1-C3XAT7WHCKMYVE,Penang Famous Duck Egg Char Koay Teow - Red Garden Food Paradise,DINNER,positive NTU uplift; NTU/RM ≥ median,Island,Georgetown,MGS,,Hon Yi Ni,Hon Yi Ni,T20,17102.92,-31.17%
1-C6AGEN4BLZBTJJ,Char Koay Teow Fried Rice - JJ Garden Food Court [Non-Halal],DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; recent promo saturation,Island,Tanjung Bungah,MGS,,Hon Yi Ni,Hon Yi Ni,T20,21927.03,0.66%
1-C3WHN3JWALJTNN,Bob Kitchen - Taman Bestari,DINNER,positive NTU uplift; NTU/RM ≥ median,Mainland,Kulim,NMA,,,,No,5008,79.32%
1-C2AKJFAYT7MVTA,Aman Tomyam - Tanjong Tokong,DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; ops risk: high prep time,Island,Tanjung Bungah,MGS,,Teoh Jun Ling,Teoh Jun Ling,T20,18462.35,-8.50%
1-C4L2ATTKVKVJEE,Penang Famous Nasi Lemak 峰昧古早味椰浆饭 - Red Garden Food Paradise,DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Island,Georgetown,NMA,,,,No,1400.48,-1.86%
1-C6XULJ5KR3MAGE,Kedai Makan Pak Aq - Bukit Mertajam,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; ops risk: high prep time,Mainland,Bukit Mertajam,NMA,,,,No,2626.8,-17.23%
1-C4AXJ2L2J7ABNA,Roti Bakar Hutton Lane - Komtarwalk,DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Island,Georgetown,NMA,,,,No,4509.35,190.55%
1-C3NHDE4FTU5BGA,Maryam Restaurant - Jalan Batu Ferringhi,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Island,Batu Feringgi,MGS,,Khoo Ching Huey,Khoo Ching Huey,T20,8457.78,5.42%
1-C2UHGA3HLYXJTA,Kim Kee Char Hor Fun/Fried Rice - Fisherman's Wharf Food Court  [Non-Halal],DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; recent promo saturation,Island,Jelutong,MGS,,Teoh Jun Ling,Teoh Jun Ling,T20,18867.81,-6.81%
1-C3NXV6NCGLDHBE,Uncle Kin Chili Pan Mee - Sunway Carnival,DINNER,positive NTU uplift; NTU/RM ≥ median; ops risk: high prep time,Mainland,Seberang Jaya,MA,,,suki.teoh@grabtaxi.com,T20,15865,-2.54%
1-C2DENTVFDF5TCJ,Penang Road Famous Chao Kuey Teow - Joo Hooi Cafe [Non-Halal],LUNCH,positive NTU uplift; NTU/RM ≥ median,Island,Georgetown,NMA,,,,No,971.48,-23.82%
1-C3U3WADTGECARN,Putri Tomyam Station - Jalan Batu Ferringhi,DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; ops risk: high prep time,Island,Batu Feringgi,MGS,,Hon Yi Ni,Hon Yi Ni,T20,17748.2,31.52%
1-C3MTVCL1PEAWSA,Jojo Fruits - Astaka Tanjung Selera,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; ops risk: high prep time,Island,Georgetown,NMA,,,,No,632.75,9.05%
1-C33HCVLUMEN1AA,Angboh Char Koay Teow - Lebuh Cintra [Non-Halal],DINNER,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; recent promo saturation,Island,Georgetown,MGS,,Hon Yi Ni,Hon Yi Ni,T20,11292.46,16.63%
1-C7AHCNAFVXDZCN,FamilyMart - Caltex Batu Kawan,LUNCH,positive NTU uplift; NTU/RM ≥ median,Mainland,Bandar Cassia,NMA,,,,No,9333.16,25.08%
1-C22ZV4ACUF6XLA,Sis’s Grill - Astaka Bandar Perda,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; ops risk: high prep time,Mainland,Prai,MGS,,Khoo Ching Huey,Khoo Ching Huey,No,5367.2,-34.85%
1-C2DJTANDUFT1LE,Restoran Nasi Kandar Rafei Ali - Jalan Fettes,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed; recent promo saturation,Island,Tanjung Bungah,MA,,,darren.ng@grabtaxi.com,T20 (T3 - C1),61699.68,14.04%
1-CZDKGPT2V25BLJ,Penang Road Famous Laksa - Lebuh Keng Kwee,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Island,Georgetown,NMA,,,,No,6401.69,-5.94%
1-C2VFFEMTG8N1BE,Harshini Veelas - Biker Pitstop Kopitiam,LUNCH,positive NTU uplift; NTU/RM ≥ median,Island,Bayan Baru,NMA,,,,No,6950.71,2.24%
1-C3AYJ2TFE7DDG2,Apom Balik 46 - TPS Jalan Utama,LUNCH,positive NTU uplift; NTU/RM ≥ median; cool-off elapsed,Island,Gurney,NMA,,,,No,3228.19,10.87%
