Metric,Last_Week_Oct_18_24,This_Week_Oct_25_31,Change,Growth_Pct
Total_Orders,270845,317483,46638,17.2
Completed_Orders,243890,293802,49912,20.5
Completion_Rate_Pct,90.0,92.5,2.5,2.8
Unique_Eaters,126134,139272,13138,10.4
Unique_Merchants,5699,5732,33,0.6
Total_GMV_MYR,9585910,12911999,3326089,34.7
Avg_Basket_Size_MYR,34.73,39.60,4.87,14.0
Promo_Expense_MYR,1073802,3228437,2154635,200.7
Promo_Orders,147722,198911,51189,34.6
Promo_Penetration_Pct,54.5,62.7,8.2,15.0
Unique_Sessions,239629,279773,40144,16.8
Completed_Sessions,230533,274506,43973,19.1
Orders_per_Session,1.13,1.13,0.00,0.0
COPS_Completed_Orders_Per_Session,1.06,1.07,0.01,0.9
Local_Eaters,119455,132767,13312,11.1
Foreign_Eaters,6677,6503,-174,-2.6
Local_Orders,229705,279690,49985,21.8
Foreign_Orders,14183,14109,-74,-0.5

